Polygon,State
0,Alabama
1,Arizona
2,Arkansas
3,California
4,Colorado
5,Connecticut
6,Delaware
7,District of Columbia
8,Florida
9,Georgia
10,Idaho
11,Illinois
12,Indiana
13,Iowa
14,Kansas
15,Kentucky
16,Louisiana
17,Maine
18,Massachusetts
19,Minnesota
20,Mississippi
21,Missouri
22,Montana
23,Nebraska
24,Nevada
25,New Hampshire
26,New Jersey
27,New Mexico
28,New York
29,North Carolina
30,North Dakota
31,Ohio
32,Oklahoma
33,Oregon
34,Pennsylvania
35,South Carolina
36,South Dakota
37,Tennessee
38,Texas
39,Utah
40,Vermont
41,West Virginia
42,Wisconsin
43,Wyoming
